
20/06/2022;23:38;235
20/06/2022;23:46;2
21/06/2022;23:08;4
21/06/2022;23:08;19
21/06/2022;23:08;197
21/06/2022;23:08;193
21/06/2022;23:08;4
21/06/2022;23:08;154
21/06/2022;23:08;124
21/06/2022;23:08;97
21/06/2022;23:08;98
21/06/2022;23:08;150
21/06/2022;23:09;7
21/06/2022;23:09;44
21/06/2022;23:09;1
21/06/2022;23:09;196
21/06/2022;23:09;199
21/06/2022;23:09;191
21/06/2022;23:09;196
21/06/2022;23:09;184
21/06/2022;23:09;190
21/06/2022;23:09;195
21/06/2022;23:09;184
21/06/2022;23:09;199
21/06/2022;23:09;195
21/06/2022;23:10;1
21/06/2022;23:10;184
21/06/2022;23:10;27
21/06/2022;23:10;176
21/06/2022;23:10;182
21/06/2022;23:10;155
21/06/2022;23:10;191
21/06/2022;23:10;169
21/06/2022;23:10;168
21/06/2022;23:10;139
21/06/2022;23:11;21
21/06/2022;23:11;0
21/06/2022;23:16;2
21/06/2022;23:39;38
21/06/2022;23:40;29
21/06/2022;23:43;0
